id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,location.latitude,location.longitude,location.human_address
13383435,JH169668,2024-02-28T22:31:00.000,084XX S CONSTANCE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,0412,004,8,45,26,1189992,1849467,2024,2024-03-07T15:41:23.000,41.741972273,-87.579448254,9,21202,41,431,35,25,19,240,10,41.741972273,-87.579448254,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384554,JH170294,2024-02-28T22:30:00.000,0000X E MONROE ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0112,001,34,32,06,1177003,1899949,2024,2024-03-07T15:41:23.000,41.880801792,-87.625515824,22,14311,38,367,36,34,22,93,34,41.880801792,-87.625515824,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384100,JH170584,2024-02-28T22:30:00.000,056XX W WASHINGTON BLVD,0810,THEFT,OVER $500,STREET,False,False,1512,015,29,25,06,1138453,1900176,2024,2024-03-07T15:41:23.000,41.882209936,-87.767064116,52,22216,26,618,7,32,25,99,29,41.882209936,-87.767064116,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383278,JH169636,2024-02-28T22:30:00.000,056XX S KILPATRICK AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,False,False,0813,008,13,56,14,1146073,1866900,2024,2024-03-07T15:41:23.000,41.790754583,-87.739927261,35,22268,53,86,15,58,13,271,13,41.790754583,-87.739927261,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384219,JH170706,2024-02-28T22:30:00.000,022XX N LAKEWOOD AVE,0810,THEFT,OVER $500,STREET,False,False,1811,018,2,7,06,1167280,1914945,2024,2024-03-07T15:41:23.000,41.922166309,-87.660785996,16,21190,68,210,11,16,14,186,2,41.922166309,-87.660785996,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383338,JH169651,2024-02-28T22:30:00.000,040XX W 26TH ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,1013,010,22,30,04B,1149956,1886420,2024,2024-03-07T15:41:23.000,41.844245788,-87.725182464,14,21569,32,194,28,57,21,167,22,41.844245788,-87.725182464,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383377,JH169680,2024-02-28T22:30:00.000,054XX W RACE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1523,015,37,25,08B,1139897,1903023,2024,2024-03-07T15:41:23.000,41.889996194,-87.761692026,4,22216,26,673,45,32,25,84,37,41.889996194,-87.761692026,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383323,JH169634,2024-02-28T22:15:00.000,0000X W 114TH PL,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,0522,005,9,49,03,1178005,1829047,2024,2024-03-07T15:41:23.000,41.686216824,-87.623984372,45,21861,45,660,22,19,10,267,11,41.686216824,-87.623984372,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383327,JH169648,2024-02-28T22:15:00.000,059XX S PAULINA ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0714,007,15,67,15,1166026,1865376,2024,2024-03-07T15:41:23.000,41.786171317,-87.666807304,44,22257,65,276,3,23,17,164,15,41.786171317,-87.666807304,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383287,JH169640,2024-02-28T22:15:00.000,105XX S CORLISS AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,0512,005,9,50,03,1183438,1835419,2024,2024-03-07T15:41:23.000,41.70357795,-87.603897812,30,21861,47,254,43,19,10,256,11,41.70357795,-87.603897812,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383322,JH169673,2024-02-28T22:08:00.000,092XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,True,0633,006,8,49,14,1180540,1843678,2024,2024-03-07T15:41:23.000,41.726308575,-87.614257032,30,21546,45,555,43,61,20,248,10,41.726308575,-87.614257032,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383397,JH169659,2024-02-28T22:05:00.000,073XX S WOLCOTT AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,0735,007,17,67,08A,1164960,1855938,2024,2024-03-07T15:41:23.000,41.760294798,-87.670982309,17,22257,65,433,31,23,17,7,17,41.760294798,-87.670982309,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384378,JH169631,2024-02-28T22:00:00.000,115XX S WENTWORTH AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,0522,005,9,53,04B,1177005,1828396,2024,2024-03-07T15:41:23.000,41.684452919,-87.627664687,45,21861,50,255,22,19,10,267,11,41.684452919,-87.627664687,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13384321,JH170863,2024-02-28T22:00:00.000,054XX S WOOD ST,0810,THEFT,OVER $500,STREET,False,False,0932,009,16,67,06,1165287,1868155,2024,2024-03-07T15:41:23.000,41.793812928,-87.66943817,19,22257,65,385,2,37,23,128,16,41.793812928,-87.66943817,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383859,JH170324,2024-02-28T22:00:00.000,058XX N WINTHROP AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2022,020,48,77,06,1167806,1939007,2024,2024-03-07T15:41:23.000,41.988182041,-87.658156779,40,4451,76,13,16,14,2,42,48,41.988182041,-87.658156779,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383633,JH169861,2024-02-28T22:00:00.000,108XX S AVENUE H,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0432,004,10,52,14,1202852,1833662,2024,2024-03-07T15:41:23.000,41.698283368,-87.532869043,47,21202,49,552,47,25,19,247,6,41.698283368,-87.532869043,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
13383705,JH169901,2024-02-28T22:00:00.000,060XX S MOODY AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,0812,008,13,64,07,1136438,1863787,2024,2024-03-07T15:41:23.000,41.782389012,-87.775331288,35,22268,62,265,15,7,13,272,13,41.782389012,-87.775331288,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
